@relation humvar_complete

@attribute Binding numeric
@attribute SProtFT0 numeric
@attribute SProtFT1 numeric
@attribute SProtFT2 numeric
@attribute SProtFT3 numeric
@attribute SProtFT4 numeric
@attribute SProtFT5 numeric
@attribute SProtFT6 numeric
@attribute SProtFT7 numeric
@attribute SProtFT8 numeric
@attribute SProtFT9 numeric
@attribute SProtFT10 numeric
@attribute SProtFT11 numeric
@attribute SProtFT12 numeric
@attribute Interface numeric
@attribute Relaccess numeric
@attribute Impact numeric
@attribute HBonds numeric
@attribute SPhobic numeric
@attribute CPhim numeric
@attribute BCharge numeric
@attribute SSGeom numeric
@attribute Voids numeric
@attribute MLargest1 numeric
@attribute MLargest2 numeric
@attribute MLargest3 numeric
@attribute MLargest4 numeric
@attribute MLargest5 numeric
@attribute MLargest6 numeric
@attribute MLargest7 numeric
@attribute MLargest8 numeric
@attribute MLargest9 numeric
@attribute MLargest10 numeric
@attribute NLargest1 numeric
@attribute NLargest2 numeric
@attribute NLargest3 numeric
@attribute NLargest4 numeric
@attribute NLargest5 numeric
@attribute NLargest6 numeric
@attribute NLargest7 numeric
@attribute NLargest8 numeric
@attribute NLargest9 numeric
@attribute NLargest10 numeric
@attribute Clash numeric
@attribute Glycine numeric
@attribute Proline numeric
@attribute CisPro numeric
@attribute dataset {PD,SNP}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933,1,20,0,0.87,0,0,-61.36,248.988,187.628,160.104,154.155,125.169,113.786,99.598,98.595,83.302,83.192,187.628,160.104,154.155,125.169,113.786,99.598,98.595,83.302,83.192,82.92,-4.89,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.745,44.741,0.333333,20,0,0.7,0,0,0,136.634,98.85,79.896,72.082,71.654,70.286,56.752,35.809,34.175,33.959,136.634,98.85,79.896,72.082,71.654,70.286,56.752,35.809,34.175,33.959,-6.62,-100,-100,0,SNP
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.001,1,20,-0.33,0,0,1,0,187.628,160.104,154.155,125.169,113.786,100.479,98.595,83.302,83.192,82.92,187.628,160.104,154.155,125.169,113.786,99.598,98.595,83.302,83.192,82.92,819.6,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.611,0.510368,20,-0.43,0,0,0,0,30.159,11.796,10.373,9.299,7.769,7.447,7.373,7.146,3.346,3.332,30.159,11.796,10.373,9.299,7.769,7.447,7.373,7.146,3.346,3.332,-1.15,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.866,33.039,1,20,-0.38,0,0,0,0,141.306,111.811,101.585,101.21,79.126,71.459,70.603,65.879,63.239,59.207,141.306,111.811,101.585,101.21,79.126,71.459,70.603,65.879,63.239,59.207,7.53,-2.9302,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.774,51.735,1,20,0,0,0,0,0,96.7,92.331,65.795,57.688,40.052,33.028,31.657,29.632,28.788,28.177,96.7,92.331,65.795,57.688,40.052,33.028,31.657,29.632,28.788,28.177,-7.86,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.829,0.581536,20,0,0.48,-2,0,0,1183.457,922.883,768.313,624.298,466.102,460.304,348.065,279.928,232.417,221.576,1183.457,922.883,768.313,624.298,466.102,460.304,348.065,279.928,232.417,221.576,-2.76,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.391,0.435642,-20,-2.17,0,1,0,0,430.023,121.416,104.296,102.981,101.355,98.672,97.855,96.008,87.97,68.62,430.023,121.416,104.296,102.981,101.355,98.672,97.855,96.008,87.97,68.62,-13.46,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.154,1,10.06,-0.08,0,-1,0,0,377.117,262.191,229.797,197.119,148.519,143.616,135.452,125.901,97.684,91.059,377.117,262.191,229.797,197.119,148.519,143.616,135.452,125.901,97.684,92.148,-7.27,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.561,0,0.35986,20,0,0.09,0,0,0,495.059,379.968,251.978,235.432,204.774,195.824,190.057,181.316,166.301,156.477,495.059,379.968,251.978,235.432,204.774,195.824,190.057,172.327,166.301,156.477,0,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41,0.348,0.664937,9.2,0,0.46,-1,0,0,291.066,249.458,240.616,209.798,185.892,160.655,141.785,139.007,138.068,98.549,291.066,249.458,240.616,209.798,185.892,160.655,141.785,139.007,138.068,108.904,46.75,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.363,0.377743,20,-0.38,0,0,0,0,93.124,77.437,73.51,60.861,60.329,57.09,47.22,47.03,36.699,32.116,93.124,77.437,73.51,60.861,60.329,57.09,47.22,47.03,36.699,32.116,12.72,-1.601,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.294719,-20,-0.02,0,0,0,-171.764,385.366,213.602,196.495,151.283,145.368,134.619,126.675,121.318,117.117,107.423,213.602,202.383,196.495,151.283,145.368,134.619,126.675,121.318,117.117,107.423,-4.16,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.835,0.544015,20,-0.08,0,0,0,0,408.653,248.128,226.878,192.42,180.676,163.048,159.966,153.012,149.301,144.642,408.653,226.878,207.889,192.42,180.676,163.048,159.966,153.012,149.301,144.642,183.14,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.808,0.711206,11.49,-2.17,0,1,0,0,129.104,84.85,77.361,76.021,72.617,70.249,64.317,62.113,56.954,55.466,129.104,84.85,77.361,76.021,72.617,70.249,64.317,62.113,56.954,55.466,-15.28,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.692,1,20,-0.19,0,0,0,-0.047,9.473,9.355,8.662,0,0,0,0,0,0,0,9.426,9.355,8.662,0,0,0,0,0,0,0,11.99,-100,-0.7789,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.953,1.478,0.471872,20,0,0.6,0,0,-255.164,1016.846,144.291,75.453,54.298,48.288,44.078,40.868,27.938,26.405,24.58,761.682,144.291,114.478,75.453,59.82,54.298,48.288,44.078,40.868,27.938,2631.18,-100,2.1193,0,PD
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-70.137,18.335,0.476489,20,0,0.57,0,0,0,157.863,113.254,98.034,90.797,75.121,72.013,70.004,64.549,57.455,54.085,157.863,113.254,98.034,90.797,75.121,72.013,70.004,64.549,57.455,54.085,-1.4,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.58,1,20,0,0.48,-2,0,0,391.098,338.983,330.793,312.863,227.105,204.39,200.459,167.905,153.97,138.447,391.098,338.983,330.793,312.863,227.105,204.39,200.459,167.905,153.97,138.447,-0.57,-100,-100,0,PD
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.731,33.799,0.403395,-20,-0.38,0,0,0,0,38.749,36.709,28.601,27.622,21.431,17.574,16.236,15.985,15.193,14.756,38.749,36.709,28.601,27.622,21.431,17.574,16.236,15.985,15.193,14.756,-0.27,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911,1,20,-0.07,0,0,0,0,115.176,100.584,92.394,89.001,69.976,67.346,53.144,51.672,51.068,47.113,115.176,100.584,92.394,69.976,64.876,55.422,53.144,51.068,47.113,42.226,277.46,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.97,28.533,0.304912,-20,-1.84,0,1,0,0,972.279,271.034,237.18,188.712,176.52,160.598,150.09,130.356,108.727,107.855,972.279,271.034,237.18,188.712,176.52,160.598,150.09,130.356,108.727,107.855,-4.24,-100,-100,0,SNP
1,0,0,0,0,0,0,0,0,0,0,0,1,0,-11.086,2.699,0.517858,20,-1.11,0,1,0,0,512.633,141.893,141.685,120.82,113.477,109.147,105.234,100.794,96.531,85.544,512.633,141.893,141.685,120.82,113.477,109.147,105.234,100.794,96.531,85.544,-12.43,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.212,0.612727,20,0,0.42,-1,0,0,626.869,552.981,296.101,245.304,230.468,217.495,214.411,204.542,190.927,176.402,626.869,552.981,296.101,245.304,230.468,217.495,214.411,204.542,190.927,176.402,-11.67,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.937,1,-20,-0.93,0,1,0,0,239.044,214.574,207.172,122.28,96.849,87.572,87,86.27,81.461,79.804,239.044,215.129,207.172,122.28,96.849,87.572,87,86.27,81.461,79.804,-7.34,-100,-100,0,PD
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.013,55.132,1,20,0,0,0,0,0,213.6,113.287,91.502,66.609,53.477,43.533,41.849,41.748,41.62,41.39,213.6,113.287,91.502,66.609,53.477,43.533,41.849,41.748,41.62,41.39,-2.3,-100,-100,0,SNP
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-62.153,0.994,0.976088,18.52,0,0.63,0,0,0,401.538,111.784,107.871,100.244,86.111,62.213,49.774,48.89,37.737,37.635,401.538,111.784,107.871,100.244,86.111,62.213,49.774,48.89,37.737,37.635,-2,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.311,0.596421,20,-0.32,0,-2,0,0,326.529,137.463,135.543,133.002,84.333,82.463,77.33,69.925,68.051,60.394,326.529,137.463,135.543,133.002,84.333,82.463,77.33,69.925,68.051,60.394,-2.48,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.751,1,-20,-0.78,0,-1,0,0,1183.457,887.682,768.313,624.298,466.102,460.304,348.065,279.928,232.417,221.576,1183.457,922.883,768.313,624.298,466.102,460.304,348.065,279.928,232.417,221.576,0,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.861,1,8.66,0,0,0,0,0,136.822,78.857,75.429,71.086,26.48,24.632,23.68,22.796,19.978,17.228,136.822,78.857,75.429,71.086,26.48,24.632,23.68,22.796,19.978,17.228,-7.35,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.594,1,20,-0.29,0,0,0,0,112.509,76.322,59.509,57.247,55.646,54.615,49.395,48.916,48.618,47.912,112.509,76.322,59.509,57.247,55.646,54.615,49.395,48.916,48.618,47.912,-5.64,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.389806,20,0,0,0,0,0,328.624,234.374,148.304,136.51,131.624,127.863,123.526,113.095,110.871,107.966,328.624,234.374,148.304,136.51,131.624,127.863,123.526,113.095,110.871,107.966,-10.86,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959,0.420986,20,0,1.36,-1,0,0,462.324,319.233,90.371,76.177,68.943,63.763,63.508,60.493,59.42,54.713,462.324,319.233,90.177,80.701,76.177,68.943,60.493,59.42,58.242,54.713,-12.12,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,1,20,0,0,0,0,0,305.285,279.941,276.437,197.993,137.841,118.683,101.242,99.983,89.226,82.743,305.285,279.941,276.437,197.993,137.841,118.683,101.242,99.983,89.226,82.743,-9.89,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.049,1,20,-0.16,0,0,0,0,212.487,145.94,125.549,117.01,112.226,110.628,105.686,104.561,102.725,101.788,212.487,145.94,125.549,117.01,112.226,110.628,105.686,104.561,102.725,101.788,-6.5,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.71,0.769317,20,-0.29,0,0,0,0,155.893,105.821,100.253,99.291,95.176,84.481,59.098,55.379,54.675,53.46,155.893,105.821,100.253,99.291,95.176,84.481,59.098,55.379,54.675,53.46,-2.93,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495033,20,0,0.08,0,0,0,333.045,273.171,257.55,234.353,218.199,187.69,132.851,119.045,116.124,113.233,333.045,273.171,257.55,234.353,187.69,159.078,132.851,119.045,116.124,113.233,-9.19,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.629,1,20,-1.11,0,1,0,0,63.107,47.163,40.382,39.788,36.675,27.796,27.724,27.408,24.57,23.176,63.107,47.163,40.382,39.788,36.675,27.796,27.724,27.408,24.57,23.176,1.78,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.265,0.942368,20,-1.96,0,1,0,0,183.053,107.102,103.877,99.345,75.277,73.706,63.912,55.558,47.236,43.546,183.053,107.102,103.877,99.345,75.277,73.706,63.912,55.558,47.586,47.236,0,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.538,1,20,-0.48,0,2,0,0,368.528,149.935,110.989,87.96,79.081,71.835,64.74,63.829,60.847,55.852,368.528,149.935,110.989,87.96,79.081,71.835,64.74,63.829,60.847,55.852,-4.33,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,1,20,0,0.28,0,0,0,314.148,245.691,213.418,210.868,153.002,96.469,92.958,92.2,79.049,67.323,314.148,245.691,213.418,210.868,153.002,96.469,92.958,92.2,79.049,67.323,-5.07,-100,-100,0,PD
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.285,19.205,0.496467,-20,0,0.1,0,0,0,118.574,93.856,78.345,66.273,52.732,39.248,37.82,31.349,28.223,24.682,118.574,93.856,78.345,66.273,52.732,39.248,37.82,31.349,28.223,24.682,-5.75,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.964,1,20,-0.28,0,0,0,0,152.666,112.439,90.358,85.018,84.013,73.643,72.749,64.194,60.38,60.291,152.666,90.358,85.018,84.013,73.643,72.749,64.194,60.38,60.291,58.821,3.65,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.21,0.368667,20,-0.29,0,-1,0,0,276.823,242.23,203.601,195.163,185.301,178.781,169.861,167.85,165.75,151.834,276.823,242.23,203.601,195.163,185.301,178.781,169.861,167.85,165.75,151.834,-3.4,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0.645191,20,0,0.08,0,0,0,234.901,202.279,178.725,166.115,140.04,137.761,132.949,108.286,104.669,89.867,234.901,202.279,178.725,140.04,137.761,132.949,108.286,104.669,89.867,86.497,-11.05,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.591,0.552415,20,0,0.28,0,0,-21.674,119.708,93.52,30.928,25.469,24.145,20.377,17.883,17.09,16.378,16.144,98.034,77.203,39.91,28.728,25.027,19.704,17.363,16.826,16.621,16.615,-3.37,-100,-100,0,SNP
1,0,0,0,0,0,0,0,0,0,1,0,0,0,-35.528,29.961,0.511943,-20,-2.17,0,1,0,0,75.237,15.721,13.148,11.765,11.082,9.344,8.959,8.102,7.987,7.459,75.237,15.721,13.148,11.765,11.082,9.344,8.959,8.102,7.987,7.459,-12.25,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780509,20,0,0,0,0,0,278.92,148.871,136.462,121.66,101.109,84.165,80.661,79.228,78.654,70.172,278.92,148.871,136.462,121.66,101.109,84.165,80.661,79.228,78.654,70.172,-3.83,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.491,0.511448,20,0,0.7,0,0,0,322.646,200.937,152.523,149.689,146.052,136.072,135.148,128.604,123.319,114.55,322.646,200.937,152.523,149.689,146.052,136.072,135.148,128.604,123.319,114.55,-8.27,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.288,1,20,-0.6,0,0,0,0,543.209,414.449,399.039,324.804,298.45,264.142,261.263,259.95,222.019,217.942,543.209,414.449,399.039,324.804,298.45,264.142,261.263,259.95,222.019,217.942,-7.4,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.927,0.517951,12.01,0,0.48,-2,0,0,212.517,143.675,112.413,102.95,97.934,95.909,86.09,80.413,79.311,73.232,212.517,143.675,136.27,112.413,102.95,97.934,95.909,86.09,80.413,79.311,-11.69,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.835,0.868434,20,-0.88,0,-1,0,0,401.538,111.784,107.871,100.244,86.111,62.213,49.774,48.89,37.737,37.635,401.538,111.784,107.871,100.244,86.111,62.213,49.774,48.89,37.737,37.635,0,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.299,0.470822,20,0,0.27,0,0,0,1357.253,869.208,511.272,387.843,378.852,305.682,264.648,244.557,228.145,216.102,1357.253,869.208,511.272,387.843,378.852,305.682,264.648,244.557,228.145,216.102,3.58,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.304,0.257,1,20,-0.28,0,0,0,0,181.28,161.617,154.827,126.125,123.849,118.878,106.412,99.974,95.984,85.423,181.28,161.617,154.827,126.125,118.878,106.412,99.974,95.984,85.423,84.121,-8.8,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.592,0.296216,20,-1.4,0,0,0,0,262.223,212.981,197.692,195.216,163.738,146.255,142.761,137.378,130.169,120.38,262.223,212.981,197.692,195.216,163.738,146.255,142.761,137.378,130.169,120.38,-4.67,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.537,1,20,-1.83,0,1,0,0,308.725,205.853,200.89,164.689,127.357,107.818,104.973,99.695,89.394,86.253,308.725,205.853,200.89,164.689,127.357,107.818,104.973,99.695,89.394,86.253,-7.12,-100,-100,0,PD
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.84,39.546,1,9.35,-0.7,0,0,0,10.793,85.511,59.468,51.436,45.197,36.387,33.856,31.191,29.784,26.627,24.126,96.304,92.546,54.982,36.889,32.202,27.953,27.675,26.141,25.93,23.908,-4.93,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.549,1,-20,-1.73,0,1,0,0,1483.093,917.543,557.263,503.551,457.288,441.475,322.536,192.963,186.326,177.211,1483.093,916.954,557.263,503.551,457.288,441.475,322.536,192.963,186.326,177.211,117.97,-100,2.6207,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.258,0.794924,20,0,0.97,1,0,0,263.255,85.363,82.245,78.275,60.632,54.667,53.061,52.39,52.269,51.436,263.255,85.363,82.245,78.275,60.632,54.667,53.061,52.39,52.269,51.436,-5.7,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.162,0.741148,20,-1.73,0,1,0,0,170.415,148.963,94.399,87.793,84.761,83.25,77.908,75.401,73.017,66.314,170.415,148.963,99.034,87.793,84.761,83.25,77.908,75.401,73.017,66.314,2986.51,-100,2.6969,0,PD
1,0,0,0,0,0,0,0,1,0,0,0,0,0,-36.532,1.728,0.541292,20,0,0.02,0,0,0,486.108,484.045,300.362,295.272,249.786,235.912,233.337,168.128,160.991,146.28,486.108,484.045,299.361,295.272,249.786,235.912,233.337,168.128,160.991,146.28,4550.11,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.56,1,20,0,0.07,0,0,0,136.634,98.85,79.896,72.082,71.654,70.286,56.752,35.809,34.175,33.959,136.634,98.85,79.896,72.082,71.654,70.286,56.752,35.809,34.175,33.959,-6.86,-100,-100,0,SNP
